what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1329935174728
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1329935174728
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1329935174728
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1329935174728
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1329935174728
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1329935174728
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1329935174728
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1329935174728
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1329935174728
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1329935174728
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1329935174728
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1329935174728
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1329935174728
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1329935174728
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1329935174728
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1329935174728
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1329935174728
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1329935174728
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1329935174728
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1329935174728
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329935174728
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329935174728
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329935174728
started,bundle,com.python.pydev,2.4.0.2012020116,"com.python.pydev",1329935174728
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1329935174728
started,bundle,com.python.pydev.codecompletion,2.4.0.2012020116,"com.python.pydev.codecompletion",1329935174728
started,bundle,com.python.pydev.refactoring,2.4.0.2012020116,"com.python.pydev.refactoring",1329935174728
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1329935174728
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1329935174728
started,bundle,org.python.pydev.debug,2.4.0.2012020116,"org.python.pydev.debug",1329935174728
started,bundle,org.python.pydev.django,2.4.0.2012020116,"org.python.pydev.django",1329935174728
started,bundle,org.python.pydev.jython,2.4.0.2012020116,"org.python.pydev.jython",1329935174728
started,bundle,org.python.pydev.parser,2.4.0.2012020116,"org.python.pydev.parser",1329935174728
started,bundle,org.python.pydev.red_core,2.4.0.2012020116,"org.python.pydev.red_core",1329935174728
started,bundle,org.python.pydev.refactoring,2.4.0.2012020116,"org.python.pydev.refactoring",1329935174728
os,sysinfo,,,"win32",1329935174732
arch,sysinfo,,,"x86_64",1329935174732
ws,sysinfo,,,"win32",1329935174732
locale,sysinfo,,,"en_GB",1329935174732
processors,sysinfo,,,"2",1329935174732
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329935174732
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1329935174732
java.specification.name,sysinfo,,,"Java Platform API Specification",1329935174732
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329935174732
java.specification.version,sysinfo,,,"1.6",1329935174732
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329935174732
java.version,sysinfo,,,"1.6.0_31",1329935174732
java.vm.info,sysinfo,,,"mixed mode",1329935174732
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1329935174732
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329935174732
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329935174732
java.vm.specification.version,sysinfo,,,"1.0",1329935174732
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329935174732
java.vm.version,sysinfo,,,"20.6-b01",1329935174732
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329935174758
